Location,Experiment,Treatment,Year,Date,Variable,Value,SD
Gemiza,GMZA2001,T1,1980,1980-04-29,HWAM,5129.5,250
Gemiza,GMZA2001,T1,1980,1980-04-29,ADAT,120,2
Gemiza,GMZA2001,T2,1988,1988-04-08,HWAM,6911,350
Gemiza,GMZA2001,T2,1988,1988-04-08,HWAM,6911,350
Gemiza,GMZA2001,T2,1988,1988-04-08,H#AM,174893.2,8500
Gemiza,GMZA2001,T2,1988,1988-04-08,MDAT,128,3
Gemiza,GMZA2001,T2,1988,1988-06-02,HWUM,39.52,2.0
Gemiza,GMZA2001,T3,1994,1994-04-11,HWAM,7588.5,380
Gemiza,GMZA2001,T3,1994,1994-04-11,ADAT,101,2
Gemiza,GMZA2001,T3,1994,1994-04-21,MDAT,111,3
Gemiza,GMZA2001,T4,1995,1995-04-07,HWAM,7236,360
Gemiza,GMZA2001,T4,1995,1995-04-07,ADAT,97,2
Gemiza,GMZA2001,T4,1995,1995-04-17,MDAT,107,3
Gemiza,GMZA2001,T4,1995,1995-06-03,HWUM,152.5,7.6
Gemiza,GMZA2001,T5,1996,1996-04-21,HWAM,5535,280
Gemiza,GMZA2001,T5,1996,1996-04-21,ADAT,112,2
Gemiza,GMZA2001,T5,1996,1996-05-12,MDAT,122,3
Gemiza,GMZA2001,T6,1997,1997-04-12,HWAM,7982,400
Gemiza,GMZA2001,T6,1997,1997-04-12,ADAT,103,2
Gemiza,GMZA2001,T6,1997,1997-04-22,MDAT,113,3
Gemiza,GMZA2001,T7,1998,1998-04-12,HWAM,9044.5,450
Gemiza,GMZA2001,T7,1998,1998-04-12,ADAT,102.5,2
Gemiza,GMZA2001,T7,1998,1998-04-22,MDAT,112,3
Gemiza,GMZA2001,T8,2000,2000-04-09,HWAM,9708.5,485
Gemiza,GMZA2001,T8,2000,2000-04-09,ADAT,100,2
Gemiza,GMZA2001,T8,2000,2000-04-19,MDAT,110,3
Gemiza,GMZA2001,T9,2002,2002-04-15,HWAM,8671.5,435
Gemiza,GMZA2001,T9,2002,2002-04-15,ADAT,94.75,2
Gemiza,GMZA2001,T9,2002,2002-04-25,MDAT,105,3
Gemiza,GMZA2001,T10,2013,2013-04-11,HWAM,8958.5,448
Gemiza,GMZA2001,T10,2013,2013-04-11,ADAT,90.5,2
Gemiza,GMZA2001,T10,2013-04-11,MDAT,101,3
Gemiza,GMZA2001,T10,2013,2013-04-11,HWUM,42.75,2.1
Gemiza,GMZA2001,T10,2013,2013-04-11,H#AM,209568.1,10500
Gemiza,GMZA2001,T11,1999,1999-04-06,HWAM,8999.5,450
Gemiza,GMZA2001,T11,1999,1999-04-06,ADAT,95.5,2
Gemiza,GMZA2001,T11,1999,1999-04-16,MDAT,106,3
Gemiza,GMZA2001,T12,2001,2001-04-22,HWAM,8454,423
Gemiza,GMZA2001,T12,2001,2001-04-22,ADAT,101.75,2
Gemiza,GMZA2001,T12,2001,2001-05-02,MDAT,112,3
Gemiza,GMZA2001,T13,2003,2003-04-09,HWAM,10246.5,512
Gemiza,GMZA2001,T13,2003,2003-04-09,ADAT,99.5,2
Gemiza,GMZA2001,T13,2003,2003-04-19,MDAT,110,3
Gemiza,GMZA2001,T14,2004,2004-04-07,HWAM,9323,466
Gemiza,GMZA2001,T14,2004,2004-04-07,ADAT,97.5,2
Gemiza,GMZA2001,T14,2004,2004-04-17,MDAT,108,3
Gemiza,GMZA2001,T15,2005,2005-04-07,HWAM,9671.5,484
Gemiza,GMZA2001,T15,2005,2005-04-07,ADAT,98,2
Gemiza,GMZA2001,T15,2005,2005-04-17,MDAT,108,3
