Experiment,Treatment,Date,Variable,Value,SD
Field_A,T1_N100,2023-06-15,HWAM,8500,450
Field_A,T1_N100,2023-06-15,CWAM,16000,800
Field_A,T1_N100,2023-05-20,LAIX,4.2,0.3
Field_A,T1_N100,2023-06-15,GNAM,145,12
Field_A,T1_N100,2023-05-18,ADAT,65,2
Field_A,T1_N100,2023-06-20,MDAT,120,3
Field_A,T2_N150,2023-06-18,HWAM,9200,520
Field_A,T2_N150,2023-06-18,CWAM,17500,900
Field_A,T2_N150,2023-05-22,LAIX,4.8,0.4
Field_A,T2_N150,2023-06-18,GNAM,165,15
Field_A,T2_N150,2023-05-19,ADAT,66,2
Field_A,T2_N150,2023-06-22,MDAT,122,3
Field_B,T1_N100,2023-06-20,HWAM,8200,480
Field_B,T1_N100,2023-06-20,CWAM,15500,850
Field_B,T1_N100,2023-05-25,LAIX,4.0,0.35
Field_B,T1_N100,2023-06-20,GNAM,140,13
Field_B,T1_N100,2023-05-23,ADAT,67,2
Field_B,T1_N100,2023-06-25,MDAT,125,4
Field_B,T2_N150,2023-06-22,HWAM,9500,550
Field_B,T2_N150,2023-06-22,CWAM,18000,950
Field_B,T2_N150,2023-05-26,LAIX,5.0,0.45
Field_B,T2_N150,2023-06-22,GNAM,170,16
Field_B,T2_N150,2023-05-24,ADAT,68,2
Field_B,T2_N150,2023-06-26,MDAT,126,4
